protocol_item,value,source
operator_mode,corrected (I - G*u); legacy (G*(I-u)) historical only,00F_OPERATOR_REPAIR.md / 00F2_OPERATOR_REVIEW_EVIDENCE.md
generator,"corrected PriCheXy-Net UNet(1,2,32) flow-field, mu=0.01, stochastic_lambda=0.0",03B_generator_provenance_baseline_corrected.json
generator_sha256,8a489eec036679f6775a2bf0b21fb112f1f968490a513b1f9b6dc012d4e384c2,03B_generator_provenance_baseline_corrected.json
train_split,image_pairs/image_pairs_training_10000.txt,03B_generator_provenance_baseline_corrected.json
validation_split,image_pairs/image_pairs_validation_2000.txt,03B_generator_provenance_baseline_corrected.json
test_split,"official TEST arm (corrected baseline confirmatory), n=10 restarts",03D_artifacts/arm_summary_machine.json
attacker,"SiameseNetwork ResNet-50, Adam 1e-4, batch 16, patience 5, checkpoint=lowest validation loss",01_ADAPTIVE_REID_PROTOCOL.md
privacy_metric,Re-ID AUC on held-out identity pairs (adaptive multi-restart),01_ADAPTIVE_REID_PROTOCOL.md
restarts,n=10 (primary); n=3 screening (mechanism diagnostics),01_ADAPTIVE_REID_PROTOCOL.md
validity,"n_near_chance=0, n_numerically_invalid=0 for corrected baseline",03D_artifacts/arm_summary_machine.json
effect_threshold,"material >=0.10 AUC (predeclared, mechanism diagnostics)",STEP 4D / 06A_E1 report
comparisons,corrected-vs-legacy mixing prohibited; historical/external figures non-comparable,01B_PROTOCOL_AMENDMENT.md / 01_ADAPTIVE_REID_PROTOCOL.md
utility,classification DenseNet-121 14-label AUC; segmentation per-case Dice/IoU/HD95,03H_*
